Region,DATE,w_PCPI
Midwest,2019-01-01,51961.36794131573
Midwest,2019-02-01,52261.956071209075
Midwest,2019-03-01,52562.53814153011
Midwest,2019-04-01,52863.114166205334
Midwest,2019-05-01,53163.68415911867
Midwest,2019-06-01,53464.24813411148
Midwest,2019-07-01,53764.806104982905
Midwest,2019-08-01,54065.35808548984
Midwest,2019-09-01,54365.90408934723
Midwest,2019-10-01,54666.44413022818
Midwest,2019-11-01,54966.97822176412
Midwest,2019-12-01,55267.50637754496
Midwest,2020-01-01,55568.02861111924
Midwest,2020-02-01,55965.09705810209
Midwest,2020-03-01,56362.16063537612
Midwest,2020-04-01,56759.219340830234
Midwest,2020-05-01,57156.27317235205
Midwest,2020-06-01,57553.32212782801
Midwest,2020-07-01,57950.36620514331
Midwest,2020-08-01,58347.40540218196
Midwest,2020-09-01,58744.4397168267
Midwest,2020-10-01,59141.46914695907
Midwest,2020-11-01,59538.493690459385
Midwest,2020-12-01,59935.51334520672
Midwest,2021-01-01,60332.52810907895
Midwest,2021-02-01,60426.92293993029
Midwest,2021-03-01,60521.34165953009
Midwest,2021-04-01,60615.784273710364
Midwest,2021-05-01,60710.25078830504
Midwest,2021-06-01,60804.74120914995
Midwest,2021-07-01,60899.2555420828
Midwest,2021-08-01,60993.793792943216
Midwest,2021-09-01,61088.35596757275
Midwest,2021-10-01,61182.94207181482
Midwest,2021-11-01,61277.55211151476
Midwest,2021-12-01,61372.186092519776
Midwest,2022-01-01,61466.844020679055
Midwest,2022-02-01,61699.086543994505
Midwest,2022-03-01,61931.320576569095
Midwest,2022-04-01,62163.546122297346
Midwest,2022-05-01,62395.76318507138
Midwest,2022-06-01,62627.97176878096
Midwest,2022-07-01,62860.17187731346
Midwest,2022-08-01,63092.3635145539
Midwest,2022-09-01,63324.54668438489
Midwest,2022-10-01,63556.72139068669
Midwest,2022-11-01,63788.88763733719
Midwest,2022-12-01,64021.045428211895
Midwest,2023-01-01,64253.19476718398
Northeast,2000-01-01,35484.11947187709
Northeast,2000-02-01,35592.41851462244
Northeast,2000-03-01,35700.71864719295
Northeast,2000-04-01,35809.01986832483
Northeast,2000-05-01,35917.3221767562
Northeast,2000-06-01,36025.625571227116
Northeast,2000-07-01,36133.93005047963
Northeast,2000-08-01,36242.2356132577
Northeast,2000-09-01,36350.542258307214
Northeast,2000-10-01,36458.84998437605
Northeast,2000-11-01,36567.15879021395
Northeast,2000-12-01,36675.46867457263
Northeast,2001-01-01,36783.77963620569
Northeast,2001-02-01,36790.54454261494
Northeast,2001-03-01,36797.311623629284
Northeast,2001-04-01,36804.0808769482
Northeast,2001-05-01,36810.85230027439
Northeast,2001-06-01,36817.625891313786
Northeast,2001-07-01,36824.401647775565
Northeast,2001-08-01,36831.179567372135
Northeast,2001-09-01,36837.959647819116
Northeast,2001-10-01,36844.74188683535
Northeast,2001-11-01,36851.52628214287
Northeast,2001-12-01,36858.312831466945
Northeast,2002-01-01,36865.10153253602
Northeast,2002-02-01,36921.523657202764
Northeast,2002-03-01,36977.946481416926
Northeast,2002-04-01,37034.37000456363
Northeast,2002-05-01,37090.79422602867
Northeast,2002-06-01,37147.21914519859
Northeast,2002-07-01,37203.644761460644
Northeast,2002-08-01,37260.07107420281
Northeast,2002-09-01,37316.498082813756
Northeast,2002-10-01,37372.925786682914
